,Date,TR ID,Subject_1,Subject_2,Ratio
1,2021-06-01,"('010212710281-97',)","green economic transition, circular economy and packaging","green economic transition, circular economy and packaging",100.0
2,2021-06-01,"('010212710281-97',)","green economic transition, circular economy and packaging","green economic transition, circular economy and packaging",100.0
0,2021-06-02,"('549033221890-77',)","circular economy, packaging and transition to reuse","circular economy, packaging and transition to reuse",100.0
0,2024-02-02,"('321342621105-20',)",land use sectors and food to a land use sectors and food to a climate neutral eu,land use sectors and food to a climate neutral eu,100.0
0,2024-02-07,"('27053044762-72', '96645517357-19', '06798511314-27')",implementation of eu chemicals strategy,implementation of eu chemicals strategy,100.0
2,2024-01-19,"('991744840418-06',)",eu's policy on eu's policy on critical raw materials,eu's policy on critical raw materials,100.0
0,2024-01-23,"('035366013790-68',)",connected care and standard essential patents,connected care and standard essential patents,100.0
0,2024-01-23,"('3954187491-70',)",industrial carbon management strategy,industrial carbon management strategy,100.0
0,2024-01-23,"('67128251296-84',)",green claims proposal and product environmental footprint method,green claims proposal and product environmental footprint method,100.0
0,2024-01-23,"('762684725502-85',)",aviation,aviation,100.0
0,2020-01-27,"('02550382403-01',)",courtesy meeting to introduce themselves,courtesy meeting to introduce themselves,100.0
0,2020-01-27,"('191419916889-22',)",rail sector and the green deal sector and the green deal,rail sector and the green deal,100.0
0,2024-01-24,"('248751637333-26', '280473541702-47', '441860152484-75')",forestry and bioeconomy,forestry and bioeconomy,100.0
2,2020-02-12,"('9803788883-16',)",the role the european poultry meat production can play in the green deal and the sustainable the role the european poultry meat production can play in the green deal and the sustainable farm to fork strategy,the role the european poultry meat production can play in the green deal and the sustainable farm to fork strategy,100.0
0,2020-02-14,"('538958337111-82',)",discussion on discussion on sustainable food systems,discussion on sustainable food systems,100.0
0,2024-03-18,"('793300922868-60',)",discuss the key policy tasks for the upcoming discuss the key policy tasks for the upcoming industrial carbon management strategy and exchange views on a potential industrial partnership for ccs in europe and exchange views on a potential industrial partnership for ccs in europe,discuss the key policy tasks for the upcoming industrial carbon management strategy and exchange views on a potential industrial partnership for ccs in europe,100.0
1,2020-01-29,"('17909506129-41',)","energy transition and energy transition and green deal, investment plan, renewable energy","energy transition and green deal, investment plan, renewable energy",100.0
0,2023-11-23,"('454264611835-56',)",bpa policies and polycarbonate,bpa policies and polycarbonate,100.0
0,2023-11-28,"('078655018381-34',)",telecommunications,telecommunications,100.0
0,2023-11-30,"('0001976677-12',)",packaging and packaging waste regulation proposal,packaging and packaging waste regulation proposal,100.0
0,2024-01-10,"('928308827208-10',)",eu compulsory licensing,eu compulsory licensing,100.0
0,2023-12-05,"('60340504060-88',)","sustainable aviation fuels (saf) , state of airline sector post-covid, single european sky, european green deals (saf) , state of airline sector post-covid, single european sky, european green deal","sustainable aviation fuels (saf) , state of airline sector post-covid, single european sky, european green deal",100.0
0,2023-12-05,"('93834493808-49',)",cee bankwatch shared most current information and views about the cee bankwatch shared most current information and views about the just transition process in central and eastern europe. process in central and eastern europe.,cee bankwatch shared most current information and views about the just transition process in central and eastern europe.,100.0
0,2022-03-30,"('55507619225-88',)","meeting with ettore prandini, president of coldiretti to discuss the impact of the invasion of ukraine on the european agricultural sector and related issues","meeting with ettore prandini, president of coldiretti to discuss the impact of the invasion of ukraine on the european agricultural sector and related issues",100.0
0,2022-03-29,"('165202837974-32',)","digital markets act and digital services act, data act","digital markets act and digital services act, data act",100.0
2,2023-12-12,"('704948052076-27',)","exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region...","exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region..",100.0
0,2023-11-21,"('433743725252-26',)","healthcare system in the european green deal, specific input on the packaging and packaging waste regulation proposal","healthcare system in the european green deal, specific input on the packaging and packaging waste regulation proposal",100.0
0,2023-11-22,"('64270747023-20',)",cyber resilience act,cyber resilience act,100.0
0,2022-05-03,"('58744833263-19',)",the the repowereu strategy strategy,the repowereu strategy,100.0
0,2022-09-07,"('6774178922-55',)",media freedom act,media freedom act,100.0
0,2022-09-16,"('545264744761-05',)",sustainable product policy and digital product passport,sustainable product policy and digital product passport,100.0
0,2022-03-18,"('977980112556-82',)",investeu,investeu,100.0
0,2022-09-22,"('97914681026-14',)",rail freight policy..,rail freight policy.,100.0
0,2020-02-05,"('00358442856-45',)",digital policy,digital policy,100.0
0,2020-02-04,"('39838147687-59',)",aviation,aviation,100.0
0,2022-07-12,"('60974102057-03',)",taxonomy,taxonomy,100.0
0,2022-07-12,"('88290282308-75',)",sanctions,sanctions,100.0
0,2022-07-26,"('986523914777-31',)",meeting farminustria's new president mr marcello cattani and dg enrica giorgetti: short exchange about the latest economic effects of the pandemic and the eu response,meeting farminustria's new president mr marcello cattani and dg enrica giorgetti: short exchange about the latest economic effects of the pandemic and the eu response,100.0
0,2022-05-03,"('236869539281-13',)",semiconductors,semiconductors,100.0
0,2022-05-03,"('391268820713-82', '125482835666-01')","circular economy transition, microplastics and bio-based plastics","circular economy transition, microplastics and bio-based plastics",100.0
0,2021-06-04,"('697362735627-20',)",engaging on education and global education summit in late july and global education summit in late july,engaging on education and global education summit in late july,100.0
0,2021-09-08,"('009532038479-10',)",sustainable food systems,sustainable food systems,100.0
0,2021-09-13,"('443913019286-78',)",pre-record - banking union,pre-record - banking union,100.0
0,2021-09-15,"('151554816791-61',)",new genomic techniques,new genomic techniques,100.0
0,2021-07-22,"('1074382679-01',)",reform of the block exemption on dual distribution,reform of the block exemption on dual distribution,100.0
0,2021-06-07,"('07783117686-61',)",cbam,cbam,100.0
0,2021-07-13,"('3373670692-24',)",cmu issues.,cmu issues.,100.0
0,2021-07-14,"('058733639758-41',)",csrd,csrd,100.0
0,2021-07-15,"('1771817758-48',)",current trade policy issues,current trade policy issues,100.0
0,2021-07-15,"('78787381113-69',)","sustainable finance, green bonds","sustainable finance, green bonds",100.0
0,2021-06-02,"('66749712601-11',)","circular economy, reuse and printer cartridges","circular economy, reuse and printer cartridges",100.0
0,2021-06-03,"('64869491516-70',)",eu summits with 3rd countries - sustainable finance and trade,eu summits with 3rd countries - sustainable finance and trade,100.0
0,2021-04-30,"('7459401905-60',)","eu's digital transition, the eu's digital transition, the processor and semiconductor ecosystem in europe in europe","eu's digital transition, the processor and semiconductor ecosystem in europe",100.0
0,2021-04-01,"('727640226367-07',)","potential of offshore wind energy in the baltic sea, upcoming projects in this field for eesti energia and the offshore renewables energy strategy published by the european commission in 2020.","potential of offshore wind energy in the baltic sea, upcoming projects in this field for eesti energia and the offshore renewables energy strategy published by the european commission in 2020.",100.0
0,2023-02-15,"('944733432021-08',)",protein diversification,protein diversification,100.0
0,2021-05-10,"('0649790813-47',)",afid review,afid review,100.0
0,2021-05-10,"('218282321469-11',)",dma,dma,100.0
0,2021-04-13,"('462849021886-85',)",presentation of the h2 green steel project.,presentation of the h2 green steel project.,100.0
0,2021-03-19,"('056146741444-11',)",eu circular economy action plan and educating for circular transition,eu circular economy action plan and educating for circular transition,100.0
0,2021-03-22,"('27799842497-69', '26255464458-25')",''implementation of the european green deal and circular economy'',''implementation of the european green deal and circular economy'',100.0
1,2021-03-22,"('27799842497-69', '26255464458-25')",''implementation of the european green deal and circular economy'',''implementation of the european green deal and circular economy'',100.0
2,2021-03-22,"('27799842497-69', '26255464458-25')",''implementation of the european green deal and circular economy'',''implementation of the european green deal and circular economy'',100.0
0,2021-03-22,"('37937886834-69', '5950962136-12')",dma,dma,100.0
0,2021-04-27,"('65110063986-76',)",sustainable finance,sustainable finance,100.0
9,2020-02-17,"('28666427835-74',)",the the the future of technology and society (dinner discussion with facebook and other participants),the the the future of technology and society (dinner discussion with facebook and other participants),100.0
10,2020-02-17,"('28666427835-74',)",the the the future of technology and society (dinner discussion with facebook and other participants),the the future of technology and society (dinner discussion with facebook and other participants),100.0
3,2020-02-18,"('10257354120-19',)",discussion on discussion on sustainable transport fuels,discussion on sustainable transport fuels,100.0
0,2022-09-27,"('645370511725-71',)",critical critical raw materials,critical raw materials,100.0
0,2022-09-27,"('83575061669-96',)","implementation of the european green deal, in particular circular economy and chemicals policies","implementation of the european green deal, in particular circular economy and chemicals policies",100.0
0,2023-11-17,"('50213201578-64',)","energy, energy, transport","energy, transport",100.0
0,2023-11-15,"('81643548590-64',)",to discuss the to discuss the water resilience,to discuss the water resilience,100.0
0,2023-11-14,"('347494446863-32',)","wind power package, importance of hydrogen infrastructure, european hydrogen bank, blue ammonia, hydrogen and gas decarbonisation package","wind power package, importance of hydrogen infrastructure, european hydrogen bank, blue ammonia, hydrogen and gas decarbonisation package",100.0
1,2023-11-14,"('347494446863-32',)","wind power package, importance of hydrogen infrastructure, european hydrogen bank, blue ammonia, hydrogen and gas decarbonisation package","wind power package, importance of hydrogen infrastructure, european hydrogen bank, blue ammonia, hydrogen and gas decarbonisation package",100.0
20,2020-02-17,"('28666427835-74',)",the the the future of technology and society (dinner discussion with facebook and other participants),the the future of technology and society (dinner discussion with facebook and other participants),100.0
0,2024-01-17,"('178553952163-37',)",ai and regulating foundation models,ai and regulating foundation models,100.0
2,2023-11-14,"('347494446863-32',)","wind power package, importance of hydrogen infrastructure, european hydrogen bank, blue ammonia, hydrogen and gas decarbonisation package","wind power package, importance of hydrogen infrastructure, european hydrogen bank, blue ammonia, hydrogen and gas decarbonisation package",100.0
0,2023-10-25,"('83370363079-88',)",capital markets union,capital markets union,100.0
0,2023-10-26,"('56362448807-46',)",rule of law,rule of law,100.0
0,2023-12-12,"('704948052076-27',)","exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region...","exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region...",100.0
0,2024-01-17,"('486889834865-61',)",soil health,soil health,100.0
0,2024-01-19,"('919004519967-94',)",packaging and packaging waste regulation proposal,packaging and packaging waste regulation proposal,100.0
4,2023-12-12,"('704948052076-27',)","exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region...","exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region..",100.0
5,2023-12-12,"('704948052076-27',)","european exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region.. in the asean region","exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's exchange of views on recent trade developments, eu-asean economic relations, as well as eu competitiveness and the eu's european green deal in the asean region..",100.0
0,2023-12-14,"('716182712301-64',)",proposal for the packaging and packaging waste regulation,proposal for the packaging and packaging waste regulation,100.0
0,2023-10-25,"('03181945560-59',)","artificial intelligence, artificial intelligence, disinformation, political ads, political ads","artificial intelligence, disinformation, political ads",100.0
0,2023-10-25,"('177499846215-41',)",youth engagement at cop28,youth engagement at cop28,100.0
0,2023-10-13,"('331354550887-41',)","green deal, textiles and eu strategy for circular and sustainable textiles","green deal, textiles and eu strategy for circular and sustainable textiles",100.0
2,2020-02-19,"('933950717522-28',)",presentation of handelsbanken's position on presentation of handelsbanken's position on basel iii,presentation of handelsbanken's position on basel iii,100.0
0,2020-02-20,"('01936914624-97', '28920471149-55', '67128251296-84')",sustainable food systems,sustainable food systems,100.0
0,2020-03-31,"('92545571128-74',)",transport,transport,100.0
0,2020-04-06,"('77659588648-75',)","green hydrogen for decarbonising the economy and the energy system, impact of the current crisis on the hydrogen industry and their role in a green recovery","green hydrogen for decarbonising the economy and the energy system, impact of the current crisis on the hydrogen industry and their role in a green recovery",100.0
0,2020-04-09,"('2732167674-76',)",exchange of views on leo constellation and oneweb by phone by phone,exchange of views on leo constellation and oneweb by phone,100.0
0,2023-10-20,"('501222919-71',)",rule of law in hungary,rule of law in hungary,100.0
0,2023-10-12,"('26098317349-65',)",upcoming un climate change conference (cop28) in dubai,upcoming un climate change conference (cop28) in dubai,100.0
0,2022-10-04,"('9624415524-28',)",sustainable finance and eu taxonomy,sustainable finance and eu taxonomy,100.0
0,2022-02-15,"('355702910008-47',)",circular economy and sustainable product policy initiative,circular economy and sustainable product policy initiative,100.0
0,2022-02-02,"('581342922580-86',)",nature restoration and landscape level approach,nature restoration and landscape level approach,100.0
0,2022-02-09,"('47806848200-34', '96645517357-19', '06798511314-27')",circular economy and non-toxic plastics,circular economy and non-toxic plastics,100.0
0,2022-02-10,"('05097472836-90',)",meeting to handover a petition regarding animal testing,meeting to handover a petition regarding animal testing,100.0
0,2023-10-09,"('56362448807-46',)",upcoming un climate change conference (cop28) in dubai,upcoming un climate change conference (cop28) in dubai,100.0
0,2022-10-06,"('069250127054-82',)",energy,energy,100.0
0,2022-10-04,"('56362448807-46',)",rule of law and fundamental rights,rule of law and fundamental rights,100.0
0,2022-09-28,"('1413466815-09',)",sustainable finance,sustainable finance,100.0
0,2022-01-13,"('55888811123-49',)",climate and energy legislation,climate and energy legislation,100.0
0,2022-01-19,"('536631623336-61',)","circular economy, circular business models and tyres","circular economy, circular business models and tyres",100.0
0,2022-01-21,"('009214311424-03',)",introductory meeting by sea europe new chairperson,introductory meeting by sea europe new chairperson,100.0
0,2023-01-12,"('216374348038-09',)",digital euro,digital euro,100.0
0,2023-01-16,"('211392938041-28',)",cop and the g20,cop and the g20,100.0
0,2021-06-22,"('430008722431-29',)",green jobs,green jobs,100.0
0,2021-06-23,"('355702910008-47',)",european green deal and the next eu forest strategy,european green deal and the next eu forest strategy,100.0
0,2021-10-01,"('09245221105-30',)","basel iii upcoming package: output floor, equity, special lending, mortgages, frtb, esg risks. upcoming package: output floor, equity, special lending, mortgages, frtb, esg risks.","basel iii upcoming package: output floor, equity, special lending, mortgages, frtb, esg risks.",100.0
0,2021-10-06,"('91408765797-03',)",transition pathway in automotive in line with eu climate law,transition pathway in automotive in line with eu climate law,100.0
0,2021-10-07,"('3209361971-85', '6774178922-55')",media freedom act,media freedom act,100.0
0,2021-10-11,"('24967486965-09',)",basel iii,basel iii,100.0
0,2021-09-29,"('557406040297-72',)",eu forest strategy,eu forest strategy,100.0
0,2021-09-22,"('48872621093-60',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('714466824568-72',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('853889944167-66',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('96645517357-19',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('97628146980-33',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('9825553393-31',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-20,"('051929043978-63',)","noah conference, forests and carbon","noah conference, forests and carbon",100.0
0,2021-09-21,"('986762129799-63',)","pre-record - circular economy, green recovery, climate action","pre-record - circular economy, green recovery, climate action",100.0
0,2021-09-22,"('10439809375-73',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('11063928073-34',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('316884541044-28',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('464644816865-02',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-09-22,"('46856801604-90',)",sustainable corporate governance,sustainable corporate governance,100.0
0,2021-11-08,"('1414929419-24', '9832909575-41')",taxonomy,taxonomy,100.0
0,2021-11-08,"('744386211832-33',)","digital citizenship, social digital standard., social digital standard.","digital citizenship, social digital standard.",100.0
0,2021-11-09,"('03013154889-05', '296711210890-30')","sustainable finance, capital markets union, capital markets union","sustainable finance, capital markets union",100.0
0,2021-12-06,"('194094423131-36',)",semiconductors,semiconductors,100.0
0,2022-01-11,"('135084038966-26',)",overview of adm capital foundation's work on the global initiative to end wildlife crime,overview of adm capital foundation's work on the global initiative to end wildlife crime,100.0
0,2021-12-01,"('083031940262-77',)",air pollution and euro 7,air pollution and euro 7,100.0
0,2021-12-01,"('649521041480-23',)",to discuss the to discuss the nature restoration legislation,to discuss the nature restoration legislation,100.0
0,2022-03-03,"('155455216927-36',)",circular economy and chemical recycling,circular economy and chemical recycling,100.0
0,2021-11-29,"('9765362691-45',)",data act,data act,100.0
0,2021-11-30,"('83370363079-88',)","green and digital transitions, competitiveness of eu banking sector","green and digital transitions, competitiveness of eu banking sector",100.0
0,2021-11-26,"('1414929419-24', '96645517357-19')",to discuss the to discuss the nature restoration legislation,to discuss the nature restoration legislation,100.0
0,2022-10-14,"('179370613236-62',)",crisis management and deposit insurance,crisis management and deposit insurance,100.0
0,2022-03-11,"('39671713910-36',)",eu nature restoration law,eu nature restoration law,100.0
0,2022-02-10,"('978546644845-18',)","nature restoration, tree planting and carbon farming","nature restoration, tree planting and carbon farming",100.0
1,2022-10-14,"('179370613236-62',)",crisis management and deposit insurance,crisis management and deposit insurance,100.0
2,2022-10-14,"('179370613236-62',)",crisis management and deposit insurance,crisis management and deposit insurance,100.0
0,2022-10-19,"('4447605981-76',)",energy situation in europe,energy situation in europe,100.0
8,2022-10-12,"('389356530261-76',)",start-ups,start-ups,100.0
0,2020-02-20,"('630393933743-37',)",conference on sustainable growth in the european parliament,conference on sustainable growth in the european parliament,100.0
1,2022-03-03,"('155455216927-36',)",circular economy and chemical recycling,circular economy and chemical recycling,100.0
2,2022-03-03,"('155455216927-36',)",circular economy and chemical recycling,circular economy and chemical recycling,100.0
0,2022-03-09,"('55820581197-35',)",sustainable product policy and consumer empowerment for the green transition,sustainable product policy and consumer empowerment for the green transition,100.0
0,2022-03-11,"('3647455667-08',)",eu nature restoration law,eu nature restoration law,100.0
0,2023-06-15,"('6809935493-49',)",animal welfare,animal welfare,100.0
0,2023-06-23,"('28666427835-74',)","dma, dma, dsa, ai, ai","dma, dsa, ai",100.0
0,2020-04-16,"('2732167674-76',)",follow-up to the 9 april 2020 cal,follow-up to the 9 april 2020 cal,100.0
0,2020-04-20,"('19920706471-21',)",wind energy in the european green deal: prospects and challenges from covid-19 to recovery and beyond,wind energy in the european green deal: prospects and challenges from covid-19 to recovery and beyond,100.0
0,2020-07-08,"('779755615332-09',)",green deal and eu chemicals strategy,green deal and eu chemicals strategy,100.0
2,2023-06-06,"('79019799690-13',)","- global gateway
*      kfw's promotional platform for financing green hydrogen (ptx)
. - global gateway
*      kfw's promotional platform for financing green hydrogen (ptx)
. efsd+ guarantees guarantees","- global gateway
*      kfw's promotional platform for financing green hydrogen (ptx)
. efsd+ guarantees",100.0
0,2023-05-31,"('52431421-12',)",taxonomy,taxonomy,100.0
0,2023-06-01,"('95363765837-60',)",taxonomy delegated act,taxonomy delegated act,100.0
0,2023-06-06,"('110117812027-92',)",discussion on investeu and rrf and rrf,discussion on investeu and rrf,100.0
0,2020-07-14,"('009532038479-10',)",vc meeting - vc meeting - sustainable food systems,vc meeting - sustainable food systems,100.0
0,2023-06-26,"('877966419254-70',)",dsa,dsa,100.0
0,2020-03-24,"('90142503473-81',)",big data and ai supporting in covid situation,big data and ai supporting in covid situation,100.0
0,2020-02-27,"('68612977691-59',)",exchange views on the initiatives of the commission concerning people with exchange views on the initiatives of the commission concerning people with disabilities..,exchange views on the initiatives of the commission concerning people with disabilities.,100.0
0,2020-06-30,"('803034333635-05',)",trade issues,trade issues,100.0
0,2020-06-30,"('968421535984-01',)",conference on the future of europe,conference on the future of europe,100.0
0,2020-07-06,"('93799097410-24',)",presentation of the ses activities.,presentation of the ses activities.,100.0
0,2020-04-28,"('2732167674-76',)",follow-up to the 9 april 2020 call,follow-up to the 9 april 2020 call,100.0
0,2023-07-04,"('953933297-85',)",sustainable finance,sustainable finance,100.0
0,2023-09-13,"('588327811384-96',)",dma,dma,100.0
0,2020-03-05,"('061601915428-87',)",trade issues,trade issues,100.0
0,2020-03-16,"('798772637872-28',)",covid-19,covid-19,100.0
0,2021-03-16,"('79239225070-38',)","draft delegated act, eu taxonomy","draft delegated act, eu taxonomy",100.0
0,2021-02-15,"('64879142323-90',)",decarbonisation of the chemical industry through electrification and clean decarbonisation of the chemical industry through electrification and clean hydrogen..,decarbonisation of the chemical industry through electrification and clean hydrogen.,100.0
0,2021-02-16,"('38305846546-70',)",eu taxonomy of environmentally sustainable economic activities,eu taxonomy of environmentally sustainable economic activities,100.0
0,2021-02-18,"('0120704687-67',)",implementation of the rules on single-use plastics,implementation of the rules on single-use plastics,100.0
0,2021-02-18,"('83357751766-93',)",youth sounding board,youth sounding board,100.0
0,2021-02-23,"('47806848200-34', '96645517357-19')",implementation of the eu plastics strategy and single use plastics,implementation of the eu plastics strategy and single use plastics,100.0
2,2023-02-27,"('39966101835-69',)","european and french energy sector, and the reform of the european and french energy sector, and the reform of the electricity market design reform reform","european and french energy sector, and the reform of the electricity market design reform",100.0
0,2023-02-27,"('95363765837-60',)","implementation of the eu chemicals strategy for sustainability, in particular investors' interest in more health- and environment-friendly chemicals.","implementation of the eu chemicals strategy for sustainability, in particular investors' interest in more health- and environment-friendly chemicals.",100.0
0,2021-02-12,"('6256831207-27',)",africa europe green energy initiative. ms montero joined the meeting organized by cab vdl - valeria miceli. ms montero joined the meeting organized by cab vdl - valeria miceli,africa europe green energy initiative. ms montero joined the meeting organized by cab vdl - valeria miceli,100.0
0,2021-01-28,"('222115540283-62',)",european green deal and marine environment,european green deal and marine environment,100.0
0,2021-01-29,"('321342621105-20',)",decarbonisation of energy-intensive industries,decarbonisation of energy-intensive industries,100.0
2,2021-01-29,"('806327336072-56',)",eu taxonomy for sustainable activities,eu taxonomy for sustainable activities,100.0
0,2020-12-15,"('430010622057-05',)",basel iii,basel iii,100.0
0,2023-02-20,"('366024547020-90',)",electricity market design reform reform reform,electricity market design reform reform reform,100.0
1,2023-02-20,"('366024547020-90',)",electricity market design reform reform reform,electricity market design reform reform,100.0
2,2023-02-20,"('366024547020-90',)",electricity market design reform reform reform,electricity market design reform reform,100.0
0,2023-02-13,"('349128141758-58',)",retail investment strategy,retail investment strategy,100.0
0,2023-03-14,"('5975679180-97',)",retail investment strategy,retail investment strategy,100.0
0,2023-03-07,"('146893419149-74',)",global gateway,global gateway,100.0
0,2023-03-07,"('608478448913-23',)",environment monitoring and the use of satellite technology,environment monitoring and the use of satellite technology,100.0
0,2023-03-09,"('915519211566-03',)",retail investment strategy,retail investment strategy,100.0
0,2021-01-15,"('40538475090-82',)","sustainable cocoa initiative, deforestation and forest degradation","sustainable cocoa initiative, deforestation and forest degradation",100.0
0,2021-01-20,"('64869491516-70',)",eu taxonomy for sustainable activities,eu taxonomy for sustainable activities,100.0
0,2022-11-30,"('189086736758-93',)","eu forest and biomass policies, including in the revision of the renewable energy directive (red)","eu forest and biomass policies, including in the revision of the renewable energy directive (red)",100.0
0,2020-10-08,"('91124993695-29',)",taxation package (webex meeting together with ms scoppio) (webex meeting together with ms scoppio),taxation package (webex meeting together with ms scoppio),100.0
0,2020-09-15,"('044091037516-81',)","videoconference, about videoconference, about health policies in eu","videoconference, about health policies in eu",100.0
0,2020-09-15,"('58744833263-19',)",2030 climate target plan,2030 climate target plan,100.0
2,2023-05-04,"('1414929419-24',)",retail investment strategy and sustainability requirements,retail investment strategy and sustainability requirements,100.0
0,2022-11-15,"('862207842633-83',)",preparation of the critical preparation of the critical raw materials act act,preparation of the critical raw materials act,100.0
1,2022-11-15,"('992490647231-71',)",sustainable mining and critical sustainable mining and critical raw materials act act,sustainable mining and critical raw materials act,100.0
3,2021-11-09,"('3978240953-79',)",sustainable finance,sustainable finance,100.0
0,2022-11-22,"('755496548061-95',)",battery value chain and critical raw materials act,battery value chain and critical raw materials act,100.0
0,2022-11-22,"('9505781573-45',)",retail investment strategy and our both names and our both names,retail investment strategy and our both names,100.0
